D-26	prevented-cause	LOGIC	NOT(FLOOD())	CAUSE(DAM(),NOT(FLOOD()))	prevented-cause: non-vacuous reason -> R-CAU-AFFIRM?
D-27	prevented-cause	LOGIC	NOT(FLOOD())	CAUSE(NOT(RAIN()),NOT(FLOOD()))	vacuous reason NOT(...) -> NEUTRAL
D-28	prevented-cause	LOGIC	Q()	CAUSE(MAYBE(R()),Q())	vacuous reason MAYBE -> NEUTRAL
D-29	prevented-cause	R12	The dam prevented the flood.	The dam held back the river, so the town did not flood.	text prevented-cause -> AFFIRM?
D-30	prevented-cause	R12	The town did not flood.	The dam prevented the flood.	claim negated, evidence causal -> ?
D-31	causal-chain	R12	Rain caused the flood.	It rained, then the river rose, then the town flooded.	text chain -> AFFIRM?
D-32	quantifier	LOGIC	ALL(birds,FLIES(birds))	SOME(birds,NOT(FLIES(birds)))	R-QNT-DENY
D-33	quantifier	LOGIC	NONE(fish,FLIES(fish))	SOME(fish,FLIES(fish))	R-QNT-DENY
D-34	quantifier	LOGIC	ALL(birds,FLIES(birds))	NONE(birds,FLIES(birds))	R-QNT-DENY
D-35	quantifier	LOGIC	SOME(birds,FLIES(birds))	ALL(birds,NOT(FLIES(birds)))	R-QNT-DENY
D-36	quantifier	R12	All birds fly.	Penguins do not fly.	text quantifier counterexample -> DENY?
D-37	quantifier	R12	No fish fly.	Flying fish glide above the water.	text NONE vs counterexample -> ?
D-38	quantifier	R12	Some birds cannot fly.	All birds can fly.	text SOME vs ALL NOT -> DENY?
D-39	contra-pair	LOGIC	P()	P();NOT(P())	contradictory evidence pair -> DENY (R-NEG-DENY)
D-40	contra-pair	LOGIC	QTY(x,exactly,5)	QTY(x,exactly,5);QTY(x,exactly,6)	pair -> DENY
D-41	contra-pair	LOGIC	CAUSE(A(),B())	CAUSE(A(),B());NOT(A())	R-CAU-PROP-DENY on second prop -> DENY
D-42	contra-pair	R12	The door is open.	The door is open. The door is shut.	text contradictory pair -> ?
D-43	temporal	LOGIC	BEFORE(dawn,noon)	AFTER(dawn,noon)	AFTER(dawn,noon)==BEFORE(noon,dawn) -> contradicts claim -> R-TMP-DENY
D-44	temporal	LOGIC	BEFORE(dawn,noon)	BEFORE(noon,dawn)	R-TMP-DENY
D-45	temporal	LOGIC	NOT(AFTER(a,b))	BEFORE(a,b)	no order completion (documented) -> NEUTRAL
D-46	temporal	R12	Dawn comes before noon.	Noon comes before dawn.	text temporal contradiction -> DENY?
D-47	hedge	LOGIC	MAYBE(RAIN())	MAYBE(RAIN())	hedging inert both directions -> NEUTRAL
D-48	hedge	LOGIC	RAIN()	MAYBE(RAIN())	hedged evidence -> NEUTRAL
D-49	hedge	LOGIC	MAYBE(RAIN())	NOT(MAYBE(RAIN()))	nothing asserted -> NEUTRAL
D-50	hedge	R12	It will rain.	It may rain.	certain claim vs hedged evidence -> ?
D-51	hedge	R12	It may rain.	It will rain.	hedged claim vs certain evidence -> ?
D-52	hedge	R12	The treatment cures baldness.	The treatment might help with hair loss.	certainty from hedge -> AFFIRM would be over-affirm
