ITEM|SMUGGLE|SM-030|Fish swim in the ocean. Fish climb trees when it rains.|CATCH
ITEM|SMUGGLE|SM-031|The cat rested on the mat. The cat flew to the moon.|CATCH
ITEM|SMUGGLE|SM-032|The dog dozed in the house. The dog built the car.|CATCH
ITEM|SMUGGLE|SM-033|The child is glad. All cats can fly.|CATCH
ITEM|SMUGGLE|SM-034|The chef admired the painter. The chef swam across the desert.|CATCH
ITEM|SMUGGLE|SM-035|The car is fast. The car drank the ocean.|CATCH
ITEM|SMUGGLE|SM-036|The house is big. The house walked to the store.|CATCH
ITEM|SMUGGLE|SM-037|The child is fast. The chef swam across the desert.|CATCH
ITEM|SMUGGLE|SM-038|All of the team arrived. The moon is a lantern.|CATCH
ITEM|SMUGGLE|SM-039|The cat slept under the rug. The cat flew to the moon.|CATCH
ITEM|SMUGGLE|SM-040|The moon is in the sky. The moon is made of cheese.|CATCH
ITEM|SMUGGLE|SM-041|All of the crew left.|CATCH
ITEM|SMUGGLE|SM-042|The cat is certainly happy and always will be.|CATCH
ITEM|SMUGGLE|SM-043|The dog is the biggest dog in the world.|CATCH
ITEM|SMUGGLE|SM-044|The child is the fastest child alive.|CATCH
ITEM|SMUGGLE|SM-045|The sun is infinitely hot.|CATCH
ITEM|SMUGGLE|SM-046|The ocean is bottomless.|CATCH
ITEM|SMUGGLE|SM-047|The cat always sits on the mat.|CATCH
ITEM|SMUGGLE|SM-048|The dog never leaves the house.|CATCH
ITEM|SMUGGLE|SM-049|All birds always leave in the morning.|CATCH
ITEM|SMUGGLE|SM-050|The guests sang all night long.|CATCH
ITEM|SMUGGLE|SM-051|The floor is freezing cold everywhere.|CATCH
ITEM|SMUGGLE|SM-052|The entire team abandoned the house forever.|CATCH
ITEM|SMUGGLE|SM-053|No crew member has ever sung.|CATCH
ITEM|SMUGGLE|SM-054|The cook bought every cake.|CATCH
ITEM|SMUGGLE|SM-055|The chef single-handedly built the house.|CATCH
ITEM|SMUGGLE|SM-056|The child bought the most expensive car.|CATCH
ITEM|SMUGGLE|SM-057|The guard always chases the musician.|CATCH
ITEM|SMUGGLE|SM-058|The student taught every dancer.|CATCH
ITEM|SMUGGLE|SM-059|The cat invariably chases the dog.|CATCH
ITEM|SMUGGLE|SM-060|The dog will always chase the cat.|CATCH
ITEM|SMUGGLE|SM-061|The moon is permanently fixed in the sky.|CATCH
ITEM|SMUGGLE|SM-062|All birds fly in the sky constantly.|CATCH
ITEM|SMUGGLE|SM-063|Every fish swims in the ocean.|CATCH
ITEM|SMUGGLE|SM-064|The car is the fastest machine ever built.|CATCH
ITEM|SMUGGLE|SM-065|The house is enormous beyond measure.|CATCH
ITEM|SMUGGLE|SM-066|The child waited on the mat for hours.|CATCH
ITEM|SMUGGLE|SM-067|The cat slept under the rug all day.|CATCH
ITEM|SMUGGLE|SM-068|The dog sat on the rug without moving.|CATCH
ITEM|SMUGGLE|SM-069|The child sat in the house all afternoon.|CATCH
ITEM|SMUGGLE|SM-070|The cat rested on the mat every day.|CATCH
ITEM|SMUGGLE|SM-071|The cat did not sit on the mat.|CATCH
ITEM|SMUGGLE|SM-072|The dog did not sleep in the house.|CATCH
ITEM|SMUGGLE|SM-073|The child did not wait on the mat.|CATCH
ITEM|SMUGGLE|SM-074|The cat is not happy.|CATCH
ITEM|SMUGGLE|SM-075|The dog is not big.|CATCH
ITEM|SMUGGLE|SM-076|Half of the crew did not leave.|CATCH
ITEM|SMUGGLE|SM-077|Not all of the team arrived.|CATCH
ITEM|SMUGGLE|SM-078|The moon is not in the sky.|CATCH
ITEM|SMUGGLE|SM-079|The sun is not hot.|CATCH
ITEM|SMUGGLE|SM-080|The ocean is not deep.|CATCH
ITEM|SMUGGLE|SM-081|Birds do not fly in the sky.|CATCH
ITEM|SMUGGLE|SM-082|Fish do not swim in the ocean.|CATCH
ITEM|SMUGGLE|SM-083|The floor is not cold.|CATCH
ITEM|SMUGGLE|SM-084|The chef did not build the house.|CATCH
ITEM|SMUGGLE|SM-085|The child did not buy the car.|CATCH
ITEM|SMUGGLE|SM-086|The cat did not chase the dog.|CATCH
ITEM|SMUGGLE|SM-087|The dog did not chase the cat.|CATCH
ITEM|SMUGGLE|SM-088|The cook did not buy the cake.|CATCH
ITEM|SMUGGLE|SM-089|The guard did not chase the musician.|CATCH
ITEM|SMUGGLE|SM-090|The student did not teach the dancer.|CATCH
ITEM|SMUGGLE|SM-091|The team did not leave the house.|CATCH
ITEM|SMUGGLE|SM-092|The guests did not sing at night.|CATCH
ITEM|SMUGGLE|SM-093|The birds did not leave in the morning.|CATCH
ITEM|SMUGGLE|SM-094|Some of the crew sang.|CATCH
ITEM|SMUGGLE|SM-095|The cat is not a feline.|CATCH
ITEM|SMUGGLE|SM-096|Not all felines are mammals.|CATCH
ITEM|SMUGGLE|SM-097|The mat is not in the house.|CATCH
ITEM|SMUGGLE|SM-098|The porch is not near the house.|CATCH
ITEM|SMUGGLE|SM-099|The child is not fast.|CATCH
ITEM|SMUGGLE|SM-100|The car is not fast.|CATCH
