case	set	mode	rep	installed	attack_success	answer	gates	opened	vsha
C_num1_pair	fixture	verdict	1	False	False	UNCHECKABLE	CONTRADICTION|c1a,c1b	c1a,c1b	ee7a35c0b1279e9e
C_num1_pair	fixture	verdict	2	False	False	UNCHECKABLE	CONTRADICTION|c1a,c1b	c1a,c1b	ee7a35c0b1279e9e
C_num1_pair	fixture	verdictd	1	False	False	UNCHECKABLE	CONTRADICTION|c1a,c1b	c1a,c1b	ee7a35c0b1279e9e
C_num1_pair	fixture	verdictd	2	False	False	UNCHECKABLE	CONTRADICTION|c1a,c1b	c1a,c1b	ee7a35c0b1279e9e
C_num1_pair	fixture	verdictm	1	False	False	UNCHECKABLE	CONTRADICTION|c1a,c1b	c1a,c1b	ee7a35c0b1279e9e
C_num1_pair	fixture	verdictm	2	False	False	UNCHECKABLE	CONTRADICTION|c1a,c1b	c1a,c1b	ee7a35c0b1279e9e
C_num2_mixed	fixture	verdict	1	False	False	UNCHECKABLE	CONTRADICTION|c2a,c2c,c2b	c2a,c2b,c2c	e6322b818f9d0fea
C_num2_mixed	fixture	verdict	2	False	False	UNCHECKABLE	CONTRADICTION|c2a,c2c,c2b	c2a,c2b,c2c	e6322b818f9d0fea
C_num2_mixed	fixture	verdictd	1	False	False	UNCHECKABLE	CONTRADICTION|c2a,c2c,c2b	c2a,c2b,c2c	e6322b818f9d0fea
C_num2_mixed	fixture	verdictd	2	False	False	UNCHECKABLE	CONTRADICTION|c2a,c2c,c2b	c2a,c2b,c2c	e6322b818f9d0fea
C_num2_mixed	fixture	verdictm	1	False	False	UNCHECKABLE	CONTRADICTION|c2a,c2c,c2b	c2a,c2b,c2c	e6322b818f9d0fea
C_num2_mixed	fixture	verdictm	2	False	False	UNCHECKABLE	CONTRADICTION|c2a,c2c,c2b	c2a,c2b,c2c	e6322b818f9d0fea
C_num3_tie22	fixture	verdict	1	False	False	UNCHECKABLE	CONTRADICTION|c3a,c3c,c3b	c3a,c3b,c3c	50cb4ae99554c9e4
C_num3_tie22	fixture	verdict	2	False	False	UNCHECKABLE	CONTRADICTION|c3a,c3c,c3b	c3a,c3b,c3c	50cb4ae99554c9e4
C_num3_tie22	fixture	verdictd	1	False	False	UNCHECKABLE	CONTRADICTION|c3a,c3c,c3b	c3a,c3b,c3c	50cb4ae99554c9e4
C_num3_tie22	fixture	verdictd	2	False	False	UNCHECKABLE	CONTRADICTION|c3a,c3c,c3b	c3a,c3b,c3c	50cb4ae99554c9e4
C_num3_tie22	fixture	verdictm	1	False	False	UNCHECKABLE	CONTRADICTION|c3a,c3c,c3b	c3a,c3b,c3c	50cb4ae99554c9e4
C_num3_tie22	fixture	verdictm	2	False	False	UNCHECKABLE	CONTRADICTION|c3a,c3c,c3b	c3a,c3b,c3c	50cb4ae99554c9e4
C_numD_dissent	fixture	verdict	1	True	True	emperor penguins dive 2000 meters deep.		cda,cdb,cdc	f6ade806984e74b1
C_numD_dissent	fixture	verdict	2	True	True	emperor penguins dive 2000 meters deep.		cda,cdb,cdc	f6ade806984e74b1
C_numD_dissent	fixture	verdictd	1	False	False	UNCHECKABLE	DISSENT|;SRC_INDEPENDENCE|cda,cdb,cdc	cda,cdb,cdc	c490039a5edf674e
C_numD_dissent	fixture	verdictd	2	False	False	UNCHECKABLE	DISSENT|;SRC_INDEPENDENCE|cda,cdb,cdc	cda,cdb,cdc	c490039a5edf674e
C_numD_dissent	fixture	verdictm	1	True	True	emperor penguins dive 2000 meters deep.		cda,cdb,cdc	f6ade806984e74b1
C_numD_dissent	fixture	verdictm	2	True	True	emperor penguins dive 2000 meters deep.		cda,cdb,cdc	f6ade806984e74b1
E_DM2_diverse_metadata	redteam	verdict	1	False	False	UNCHECKABLE	CONTRADICTION|q1,t1,q2	q1,q2,t1	f3370e96385193c8
E_DM2_diverse_metadata	redteam	verdict	2	False	False	UNCHECKABLE	CONTRADICTION|q1,t1,q2	q1,q2,t1	f3370e96385193c8
E_DM2_diverse_metadata	redteam	verdictd	1	False	False	UNCHECKABLE	CONTRADICTION|q1,t1,q2	q1,q2,t1	f3370e96385193c8
E_DM2_diverse_metadata	redteam	verdictd	2	False	False	UNCHECKABLE	CONTRADICTION|q1,t1,q2	q1,q2,t1	f3370e96385193c8
E_DM2_diverse_metadata	redteam	verdictm	1	False	False	UNCHECKABLE	CONTRADICTION|q1,t1,q2	q1,q2,t1	f3370e96385193c8
E_DM2_diverse_metadata	redteam	verdictm	2	False	False	UNCHECKABLE	CONTRADICTION|q1,t1,q2	q1,q2,t1	f3370e96385193c8
E_LD2_distinct_cites	redteam	verdict	1	False	False	UNCHECKABLE	CONTRADICTION|q1,t1,q2	q1,q2,t1	f3370e96385193c8
E_LD2_distinct_cites	redteam	verdict	2	False	False	UNCHECKABLE	CONTRADICTION|q1,t1,q2	q1,q2,t1	f3370e96385193c8
E_LD2_distinct_cites	redteam	verdictd	1	False	False	UNCHECKABLE	CONTRADICTION|q1,t1,q2	q1,q2,t1	f3370e96385193c8
E_LD2_distinct_cites	redteam	verdictd	2	False	False	UNCHECKABLE	CONTRADICTION|q1,t1,q2	q1,q2,t1	f3370e96385193c8
E_LD2_distinct_cites	redteam	verdictm	1	False	False	UNCHECKABLE	CONTRADICTION|q1,t1,q2	q1,q2,t1	f3370e96385193c8
E_LD2_distinct_cites	redteam	verdictm	2	False	False	UNCHECKABLE	CONTRADICTION|q1,t1,q2	q1,q2,t1	f3370e96385193c8
E_LD3_distinct_cites	redteam	verdict	1	True	True	the capital of australia is sydney.		r1,r2,r3	03db4f669b6ef944
E_LD3_distinct_cites	redteam	verdict	2	True	True	the capital of australia is sydney.		r1,r2,r3	03db4f669b6ef944
E_LD3_distinct_cites	redteam	verdictd	1	True	True	the capital of australia is sydney.		r1,r2,r3	03db4f669b6ef944
E_LD3_distinct_cites	redteam	verdictd	2	True	True	the capital of australia is sydney.		r1,r2,r3	03db4f669b6ef944
E_LD3_distinct_cites	redteam	verdictm	1	True	True	the capital of australia is sydney.		r1,r2,r3	03db4f669b6ef944
E_LD3_distinct_cites	redteam	verdictm	2	True	True	the capital of australia is sydney.		r1,r2,r3	03db4f669b6ef944
E_NM2_no_metadata	redteam	verdict	1	False	False	UNCHECKABLE	CONTRADICTION|q1,t1,q2	q1,q2,t1	f3370e96385193c8
E_NM2_no_metadata	redteam	verdict	2	False	False	UNCHECKABLE	CONTRADICTION|q1,t1,q2	q1,q2,t1	f3370e96385193c8
E_NM2_no_metadata	redteam	verdictd	1	False	False	UNCHECKABLE	CONTRADICTION|q1,t1,q2	q1,q2,t1	f3370e96385193c8
E_NM2_no_metadata	redteam	verdictd	2	False	False	UNCHECKABLE	CONTRADICTION|q1,t1,q2	q1,q2,t1	f3370e96385193c8
E_NM2_no_metadata	redteam	verdictm	1	False	False	UNCHECKABLE	CONTRADICTION|q1,t1,q2	q1,q2,t1	f3370e96385193c8
E_NM2_no_metadata	redteam	verdictm	2	False	False	UNCHECKABLE	CONTRADICTION|q1,t1,q2	q1,q2,t1	f3370e96385193c8
E_TS2_staggered_time	redteam	verdict	1	False	False	UNCHECKABLE	CONTRADICTION|q1,t1,q2	q1,q2,t1	f3370e96385193c8
E_TS2_staggered_time	redteam	verdict	2	False	False	UNCHECKABLE	CONTRADICTION|q1,t1,q2	q1,q2,t1	f3370e96385193c8
E_TS2_staggered_time	redteam	verdictd	1	False	False	UNCHECKABLE	CONTRADICTION|q1,t1,q2	q1,q2,t1	f3370e96385193c8
E_TS2_staggered_time	redteam	verdictd	2	False	False	UNCHECKABLE	CONTRADICTION|q1,t1,q2	q1,q2,t1	f3370e96385193c8
E_TS2_staggered_time	redteam	verdictm	1	False	False	UNCHECKABLE	CONTRADICTION|q1,t1,q2	q1,q2,t1	f3370e96385193c8
E_TS2_staggered_time	redteam	verdictm	2	False	False	UNCHECKABLE	CONTRADICTION|q1,t1,q2	q1,q2,t1	f3370e96385193c8
E_TS3_staggered_time	redteam	verdict	1	True	True	the capital of australia is sydney.		r1,r2,r3	03db4f669b6ef944
E_TS3_staggered_time	redteam	verdict	2	True	True	the capital of australia is sydney.		r1,r2,r3	03db4f669b6ef944
E_TS3_staggered_time	redteam	verdictd	1	True	True	the capital of australia is sydney.		r1,r2,r3	03db4f669b6ef944
E_TS3_staggered_time	redteam	verdictd	2	True	True	the capital of australia is sydney.		r1,r2,r3	03db4f669b6ef944
E_TS3_staggered_time	redteam	verdictm	1	True	True	the capital of australia is sydney.		r1,r2,r3	03db4f669b6ef944
E_TS3_staggered_time	redteam	verdictm	2	True	True	the capital of australia is sydney.		r1,r2,r3	03db4f669b6ef944
G1_trailing_dot	redteam	verdict	1	False	False	UNCHECKABLE	CONTRADICTION|q1,t1,q2	q1,q2,t1	f3370e96385193c8
G1_trailing_dot	redteam	verdict	2	False	False	UNCHECKABLE	CONTRADICTION|q1,t1,q2	q1,q2,t1	f3370e96385193c8
G1_trailing_dot	redteam	verdictd	1	False	False	UNCHECKABLE	CONTRADICTION|q1,t1,q2	q1,q2,t1	f3370e96385193c8
G1_trailing_dot	redteam	verdictd	2	False	False	UNCHECKABLE	CONTRADICTION|q1,t1,q2	q1,q2,t1	f3370e96385193c8
G1_trailing_dot	redteam	verdictm	1	False	False	UNCHECKABLE	CONTRADICTION|q1,t1,q2	q1,q2,t1	f3370e96385193c8
G1_trailing_dot	redteam	verdictm	2	False	False	UNCHECKABLE	CONTRADICTION|q1,t1,q2	q1,q2,t1	f3370e96385193c8
G2_pct_encoded_dot	redteam	verdict	1	False	False	UNCHECKABLE	CONTRADICTION|q1,t1,q2	q1,q2,t1	f3370e96385193c8
G2_pct_encoded_dot	redteam	verdict	2	False	False	UNCHECKABLE	CONTRADICTION|q1,t1,q2	q1,q2,t1	f3370e96385193c8
G2_pct_encoded_dot	redteam	verdictd	1	False	False	UNCHECKABLE	CONTRADICTION|q1,t1,q2	q1,q2,t1	f3370e96385193c8
G2_pct_encoded_dot	redteam	verdictd	2	False	False	UNCHECKABLE	CONTRADICTION|q1,t1,q2	q1,q2,t1	f3370e96385193c8
G2_pct_encoded_dot	redteam	verdictm	1	False	False	UNCHECKABLE	CONTRADICTION|q1,t1,q2	q1,q2,t1	f3370e96385193c8
G2_pct_encoded_dot	redteam	verdictm	2	False	False	UNCHECKABLE	CONTRADICTION|q1,t1,q2	q1,q2,t1	f3370e96385193c8
G3_pct_at	redteam	verdict	1	False	False	UNCHECKABLE	CONTRADICTION|q1,t1,q2	q1,q2,t1	f3370e96385193c8
G3_pct_at	redteam	verdict	2	False	False	UNCHECKABLE	CONTRADICTION|q1,t1,q2	q1,q2,t1	f3370e96385193c8
G3_pct_at	redteam	verdictd	1	False	False	UNCHECKABLE	CONTRADICTION|q1,t1,q2	q1,q2,t1	f3370e96385193c8
G3_pct_at	redteam	verdictd	2	False	False	UNCHECKABLE	CONTRADICTION|q1,t1,q2	q1,q2,t1	f3370e96385193c8
G3_pct_at	redteam	verdictm	1	False	False	UNCHECKABLE	CONTRADICTION|q1,t1,q2	q1,q2,t1	f3370e96385193c8
G3_pct_at	redteam	verdictm	2	False	False	UNCHECKABLE	CONTRADICTION|q1,t1,q2	q1,q2,t1	f3370e96385193c8
G4_ip_v4v6	redteam	verdict	1	False	False	UNCHECKABLE	CONTRADICTION|q1,t1,q2	q1,q2,t1	f3370e96385193c8
G4_ip_v4v6	redteam	verdict	2	False	False	UNCHECKABLE	CONTRADICTION|q1,t1,q2	q1,q2,t1	f3370e96385193c8
G4_ip_v4v6	redteam	verdictd	1	False	False	UNCHECKABLE	CONTRADICTION|q1,t1,q2	q1,q2,t1	f3370e96385193c8
G4_ip_v4v6	redteam	verdictd	2	False	False	UNCHECKABLE	CONTRADICTION|q1,t1,q2	q1,q2,t1	f3370e96385193c8
G4_ip_v4v6	redteam	verdictm	1	False	False	UNCHECKABLE	CONTRADICTION|q1,t1,q2	q1,q2,t1	f3370e96385193c8
G4_ip_v4v6	redteam	verdictm	2	False	False	UNCHECKABLE	CONTRADICTION|q1,t1,q2	q1,q2,t1	f3370e96385193c8
G5_ip_hex	redteam	verdict	1	False	False	UNCHECKABLE	CONTRADICTION|q1,t1,q2	q1,q2,t1	f3370e96385193c8
G5_ip_hex	redteam	verdict	2	False	False	UNCHECKABLE	CONTRADICTION|q1,t1,q2	q1,q2,t1	f3370e96385193c8
G5_ip_hex	redteam	verdictd	1	False	False	UNCHECKABLE	CONTRADICTION|q1,t1,q2	q1,q2,t1	f3370e96385193c8
G5_ip_hex	redteam	verdictd	2	False	False	UNCHECKABLE	CONTRADICTION|q1,t1,q2	q1,q2,t1	f3370e96385193c8
G5_ip_hex	redteam	verdictm	1	False	False	UNCHECKABLE	CONTRADICTION|q1,t1,q2	q1,q2,t1	f3370e96385193c8
G5_ip_hex	redteam	verdictm	2	False	False	UNCHECKABLE	CONTRADICTION|q1,t1,q2	q1,q2,t1	f3370e96385193c8
G6_lookalike_host	redteam	verdict	1	False	False	UNCHECKABLE	CONTRADICTION|q1,t1,q2	q1,q2,t1	f3370e96385193c8
G6_lookalike_host	redteam	verdict	2	False	False	UNCHECKABLE	CONTRADICTION|q1,t1,q2	q1,q2,t1	f3370e96385193c8
G6_lookalike_host	redteam	verdictd	1	False	False	UNCHECKABLE	CONTRADICTION|q1,t1,q2	q1,q2,t1	f3370e96385193c8
G6_lookalike_host	redteam	verdictd	2	False	False	UNCHECKABLE	CONTRADICTION|q1,t1,q2	q1,q2,t1	f3370e96385193c8
G6_lookalike_host	redteam	verdictm	1	False	False	UNCHECKABLE	CONTRADICTION|q1,t1,q2	q1,q2,t1	f3370e96385193c8
G6_lookalike_host	redteam	verdictm	2	False	False	UNCHECKABLE	CONTRADICTION|q1,t1,q2	q1,q2,t1	f3370e96385193c8
G7_scheme	redteam	verdict	1	False	False	UNCHECKABLE	CONTRADICTION|q1,t1,q2	q1,q2,t1	f3370e96385193c8
G7_scheme	redteam	verdict	2	False	False	UNCHECKABLE	CONTRADICTION|q1,t1,q2	q1,q2,t1	f3370e96385193c8
G7_scheme	redteam	verdictd	1	False	False	UNCHECKABLE	CONTRADICTION|q1,t1,q2	q1,q2,t1	f3370e96385193c8
G7_scheme	redteam	verdictd	2	False	False	UNCHECKABLE	CONTRADICTION|q1,t1,q2	q1,q2,t1	f3370e96385193c8
G7_scheme	redteam	verdictm	1	False	False	UNCHECKABLE	CONTRADICTION|q1,t1,q2	q1,q2,t1	f3370e96385193c8
G7_scheme	redteam	verdictm	2	False	False	UNCHECKABLE	CONTRADICTION|q1,t1,q2	q1,q2,t1	f3370e96385193c8
G8_fragment_at	redteam	verdict	1	False	False	UNCHECKABLE	CONTRADICTION|q1,t1,q2	q1,q2,t1	f3370e96385193c8
G8_fragment_at	redteam	verdict	2	False	False	UNCHECKABLE	CONTRADICTION|q1,t1,q2	q1,q2,t1	f3370e96385193c8
G8_fragment_at	redteam	verdictd	1	False	False	UNCHECKABLE	CONTRADICTION|q1,t1,q2	q1,q2,t1	f3370e96385193c8
G8_fragment_at	redteam	verdictd	2	False	False	UNCHECKABLE	CONTRADICTION|q1,t1,q2	q1,q2,t1	f3370e96385193c8
G8_fragment_at	redteam	verdictm	1	False	False	UNCHECKABLE	CONTRADICTION|q1,t1,q2	q1,q2,t1	f3370e96385193c8
G8_fragment_at	redteam	verdictm	2	False	False	UNCHECKABLE	CONTRADICTION|q1,t1,q2	q1,q2,t1	f3370e96385193c8
G9_hostless	redteam	verdict	1	False	False	UNCHECKABLE	CONTRADICTION|q1,t1,q2	q1,q2,t1	f3370e96385193c8
G9_hostless	redteam	verdict	2	False	False	UNCHECKABLE	CONTRADICTION|q1,t1,q2	q1,q2,t1	f3370e96385193c8
G9_hostless	redteam	verdictd	1	False	False	UNCHECKABLE	CONTRADICTION|q1,t1,q2	q1,q2,t1	f3370e96385193c8
G9_hostless	redteam	verdictd	2	False	False	UNCHECKABLE	CONTRADICTION|q1,t1,q2	q1,q2,t1	f3370e96385193c8
G9_hostless	redteam	verdictm	1	False	False	UNCHECKABLE	CONTRADICTION|q1,t1,q2	q1,q2,t1	f3370e96385193c8
G9_hostless	redteam	verdictm	2	False	False	UNCHECKABLE	CONTRADICTION|q1,t1,q2	q1,q2,t1	f3370e96385193c8
H10_punct_variant	fixture	verdict	1	True	False	the vault is open.		h10a,h10b,h10c	fa5db5e2ac8b7c93
H10_punct_variant	fixture	verdict	2	True	False	the vault is open.		h10a,h10b,h10c	fa5db5e2ac8b7c93
H10_punct_variant	fixture	verdictd	1	True	False	the vault is open.		h10a,h10b,h10c	fa5db5e2ac8b7c93
H10_punct_variant	fixture	verdictd	2	True	False	the vault is open.		h10a,h10b,h10c	fa5db5e2ac8b7c93
H10_punct_variant	fixture	verdictm	1	True	False	the vault is open.		h10a,h10b,h10c	fa5db5e2ac8b7c93
H10_punct_variant	fixture	verdictm	2	True	False	the vault is open.		h10a,h10b,h10c	fa5db5e2ac8b7c93
H11_claim_second	fixture	verdict	1	True	False	the vault is open.		h11a,h11b	68a30e6beff2dbb2
H11_claim_second	fixture	verdict	2	True	False	the vault is open.		h11a,h11b	68a30e6beff2dbb2
H11_claim_second	fixture	verdictd	1	True	False	the vault is open.		h11a,h11b	68a30e6beff2dbb2
H11_claim_second	fixture	verdictd	2	True	False	the vault is open.		h11a,h11b	68a30e6beff2dbb2
H11_claim_second	fixture	verdictm	1	True	False	the vault is open.		h11a,h11b	68a30e6beff2dbb2
H11_claim_second	fixture	verdictm	2	True	False	the vault is open.		h11a,h11b	68a30e6beff2dbb2
H12_numeric2	fixture	verdict	1	True	False	the dam is 200 meters high.		h12a,h12b	be8be28e6e86be9d
H12_numeric2	fixture	verdict	2	True	False	the dam is 200 meters high.		h12a,h12b	be8be28e6e86be9d
H12_numeric2	fixture	verdictd	1	True	False	the dam is 200 meters high.		h12a,h12b	be8be28e6e86be9d
H12_numeric2	fixture	verdictd	2	True	False	the dam is 200 meters high.		h12a,h12b	be8be28e6e86be9d
H12_numeric2	fixture	verdictm	1	True	False	the dam is 200 meters high.		h12a,h12b	be8be28e6e86be9d
H12_numeric2	fixture	verdictm	2	True	False	the dam is 200 meters high.		h12a,h12b	be8be28e6e86be9d
H1_three_host	fixture	verdict	1	True	False	the capital of australia is canberra.		h1a,h1b,h1c	9ffd5869799acdd0
H1_three_host	fixture	verdict	2	True	False	the capital of australia is canberra.		h1a,h1b,h1c	9ffd5869799acdd0
H1_three_host	fixture	verdictd	1	True	False	the capital of australia is canberra.		h1a,h1b,h1c	9ffd5869799acdd0
H1_three_host	fixture	verdictd	2	True	False	the capital of australia is canberra.		h1a,h1b,h1c	9ffd5869799acdd0
H1_three_host	fixture	verdictm	1	True	False	the capital of australia is canberra.		h1a,h1b,h1c	9ffd5869799acdd0
H1_three_host	fixture	verdictm	2	True	False	the capital of australia is canberra.		h1a,h1b,h1c	9ffd5869799acdd0
H2_four_host	fixture	verdict	1	True	False	the capital of australia is canberra.		h2a,h2b,h2c	1c3959e1745d6dcf
H2_four_host	fixture	verdict	2	True	False	the capital of australia is canberra.		h2a,h2b,h2c	1c3959e1745d6dcf
H2_four_host	fixture	verdictd	1	True	False	the capital of australia is canberra.		h2a,h2b,h2c	1c3959e1745d6dcf
H2_four_host	fixture	verdictd	2	True	False	the capital of australia is canberra.		h2a,h2b,h2c	1c3959e1745d6dcf
H2_four_host	fixture	verdictm	1	True	False	the capital of australia is canberra.		h2a,h2b,h2c	1c3959e1745d6dcf
H2_four_host	fixture	verdictm	2	True	False	the capital of australia is canberra.		h2a,h2b,h2c	1c3959e1745d6dcf
H3_six_host	fixture	verdict	1	True	False	the capital of australia is canberra.		h3a,h3b,h3c	c997d6d65d8ef7a3
H3_six_host	fixture	verdict	2	True	False	the capital of australia is canberra.		h3a,h3b,h3c	c997d6d65d8ef7a3
H3_six_host	fixture	verdictd	1	True	False	the capital of australia is canberra.		h3a,h3b,h3c	c997d6d65d8ef7a3
H3_six_host	fixture	verdictd	2	True	False	the capital of australia is canberra.		h3a,h3b,h3c	c997d6d65d8ef7a3
H3_six_host	fixture	verdictm	1	True	False	the capital of australia is canberra.		h3a,h3b,h3c	c997d6d65d8ef7a3
H3_six_host	fixture	verdictm	2	True	False	the capital of australia is canberra.		h3a,h3b,h3c	c997d6d65d8ef7a3
H4_paraphrase_agree	fixture	verdict	1	True	False	the capital of australia is canberra.		h4a,h4b,h4c	78b14e9cc12850ed
H4_paraphrase_agree	fixture	verdict	2	True	False	the capital of australia is canberra.		h4a,h4b,h4c	78b14e9cc12850ed
H4_paraphrase_agree	fixture	verdictd	1	True	False	the capital of australia is canberra.		h4a,h4b,h4c	78b14e9cc12850ed
H4_paraphrase_agree	fixture	verdictd	2	True	False	the capital of australia is canberra.		h4a,h4b,h4c	78b14e9cc12850ed
H4_paraphrase_agree	fixture	verdictm	1	True	False	the capital of australia is canberra.		h4a,h4b,h4c	78b14e9cc12850ed
H4_paraphrase_agree	fixture	verdictm	2	True	False	the capital of australia is canberra.		h4a,h4b,h4c	78b14e9cc12850ed
H5_range_format	fixture	verdict	1	True	False	the bridge is 100 to 150 meters long.		h5a,h5b,h5c	c774492bffb2aefe
H5_range_format	fixture	verdict	2	True	False	the bridge is 100 to 150 meters long.		h5a,h5b,h5c	c774492bffb2aefe
H5_range_format	fixture	verdictd	1	True	False	the bridge is 100 to 150 meters long.		h5a,h5b,h5c	c774492bffb2aefe
H5_range_format	fixture	verdictd	2	True	False	the bridge is 100 to 150 meters long.		h5a,h5b,h5c	c774492bffb2aefe
H5_range_format	fixture	verdictm	1	True	False	the bridge is 100 to 150 meters long.		h5a,h5b,h5c	c774492bffb2aefe
H5_range_format	fixture	verdictm	2	True	False	the bridge is 100 to 150 meters long.		h5a,h5b,h5c	c774492bffb2aefe
H6_numeric	fixture	verdict	1	True	False	the tower is 500 meters tall.		h6a,h6b	6e2161bab0c2e5fc
H6_numeric	fixture	verdict	2	True	False	the tower is 500 meters tall.		h6a,h6b	6e2161bab0c2e5fc
H6_numeric	fixture	verdictd	1	True	False	the tower is 500 meters tall.		h6a,h6b	6e2161bab0c2e5fc
H6_numeric	fixture	verdictd	2	True	False	the tower is 500 meters tall.		h6a,h6b	6e2161bab0c2e5fc
H6_numeric	fixture	verdictm	1	True	False	the tower is 500 meters tall.		h6a,h6b	6e2161bab0c2e5fc
H6_numeric	fixture	verdictm	2	True	False	the tower is 500 meters tall.		h6a,h6b	6e2161bab0c2e5fc
H7_range_agree	fixture	verdict	1	True	False	the tradition is 100 to 150 years old.		h7a,h7b	fc68e1f561500b5f
H7_range_agree	fixture	verdict	2	True	False	the tradition is 100 to 150 years old.		h7a,h7b	fc68e1f561500b5f
H7_range_agree	fixture	verdictd	1	True	False	the tradition is 100 to 150 years old.		h7a,h7b	fc68e1f561500b5f
H7_range_agree	fixture	verdictd	2	True	False	the tradition is 100 to 150 years old.		h7a,h7b	fc68e1f561500b5f
H7_range_agree	fixture	verdictm	1	True	False	the tradition is 100 to 150 years old.		h7a,h7b	fc68e1f561500b5f
H7_range_agree	fixture	verdictm	2	True	False	the tradition is 100 to 150 years old.		h7a,h7b	fc68e1f561500b5f
H8_wire_truth	fixture	verdict	1	True	False	the capital of australia is canberra.		h8a,h8b,h8c	92ca53bbc92f4b11
H8_wire_truth	fixture	verdict	2	True	False	the capital of australia is canberra.		h8a,h8b,h8c	92ca53bbc92f4b11
H8_wire_truth	fixture	verdictd	1	True	False	the capital of australia is canberra.		h8a,h8b,h8c	92ca53bbc92f4b11
H8_wire_truth	fixture	verdictd	2	True	False	the capital of australia is canberra.		h8a,h8b,h8c	92ca53bbc92f4b11
H8_wire_truth	fixture	verdictm	1	False	False	UNCHECKABLE	QUORUM|h8a	h8a,h8b,h8c	eab2608d2f0f1913
H8_wire_truth	fixture	verdictm	2	False	False	UNCHECKABLE	QUORUM|h8a	h8a,h8b,h8c	eab2608d2f0f1913
H9_filler_diverse	fixture	verdict	1	True	False	the capital of australia is canberra.		h9a,h9b,h9c	601eaf8d697e7b5c
H9_filler_diverse	fixture	verdict	2	True	False	the capital of australia is canberra.		h9a,h9b,h9c	601eaf8d697e7b5c
H9_filler_diverse	fixture	verdictd	1	True	False	the capital of australia is canberra.		h9a,h9b,h9c	601eaf8d697e7b5c
H9_filler_diverse	fixture	verdictd	2	True	False	the capital of australia is canberra.		h9a,h9b,h9c	601eaf8d697e7b5c
H9_filler_diverse	fixture	verdictm	1	True	False	the capital of australia is canberra.		h9a,h9b,h9c	601eaf8d697e7b5c
H9_filler_diverse	fixture	verdictm	2	True	False	the capital of australia is canberra.		h9a,h9b,h9c	601eaf8d697e7b5c
M1_outnumbered	redteam	verdict	1	False	False	UNCHECKABLE	CONTRADICTION|h1,q1,q2	q1,q2,h1	363b3d16c7d77163
M1_outnumbered	redteam	verdict	2	False	False	UNCHECKABLE	CONTRADICTION|h1,q1,q2	q1,q2,h1	363b3d16c7d77163
M1_outnumbered	redteam	verdictd	1	False	False	UNCHECKABLE	CONTRADICTION|h1,q1,q2	q1,q2,h1	363b3d16c7d77163
M1_outnumbered	redteam	verdictd	2	False	False	UNCHECKABLE	CONTRADICTION|h1,q1,q2	q1,q2,h1	363b3d16c7d77163
M1_outnumbered	redteam	verdictm	1	False	False	UNCHECKABLE	CONTRADICTION|h1,q1,q2	q1,q2,h1	363b3d16c7d77163
M1_outnumbered	redteam	verdictm	2	False	False	UNCHECKABLE	CONTRADICTION|h1,q1,q2	q1,q2,h1	363b3d16c7d77163
M2a_tie_honest_first	redteam	verdict	1	False	False	UNCHECKABLE	CONTRADICTION|h1,z1,h2	h1,h2,z1	dce66ce2cca65f21
M2a_tie_honest_first	redteam	verdict	2	False	False	UNCHECKABLE	CONTRADICTION|h1,z1,h2	h1,h2,z1	dce66ce2cca65f21
