path	kind	tier	owner	size	status	verdict
wave2/longhorizon/variants/LH-3/toolchain/R33_CONTINUING_LIFE_V1/checkpoint.zag	zag	P0	coordinator	4365	done	PASS: 12-section complete-state transport contract; deterministic given state; no randomness in decision path; znc check OK; no miscompile patterns
wave2/longhorizon/variants/LH-3/toolchain/R33_CONTINUING_LIFE_V1/common.zag	zag	P0	coordinator	2289	done	PASS: bounded wire ops + check helpers; deterministic; no randomness; clean
wave2/longhorizon/variants/LH-3/toolchain/R33_CONTINUING_LIFE_V1/observation.zag	zag	P0	coordinator	3682	done	PASS: physical-encoding + provenance contract; deterministic; no randomness; clean
wave2/longhorizon/variants/LH-3/toolchain/R33_CONTINUING_LIFE_V1/storage.zag	zag	P0	coordinator	3407	done	PASS: Linux-ported descriptor-rooted file adapter; syscall numbers match playbook §5 port map; no randomness; clean
wave2/longhorizon/variants/LH-3/toolchain/R33_CONTINUING_LIFE_V1/world.zag	zag	P0	coordinator	4100	done	PASS: world module only (never imported by learner) — seeded LCG (rng*48271%2147483647) confined to environment, lawful "RNG belongs only to the world" per comment; deterministic given state
wave2/longhorizon/variants/LH-3/toolchain/R33_NATIVE_IO_V1.zag	zag	P0	coordinator	6533	done	PASS: Linux x86-64 IO substrate; flag constants match playbook §5; no randomness in any path; clean
wave2/longhorizon/variants/LH-3/toolchain/R33_NATIVE_SHA256_V2.zag	zag	P0	coordinator	4787	done	PASS: native SHA-256 with word-separated RFC6234 constants; no randomness; no ZNC-007 slice casts; clean
wave2/longhorizon/variants/LH-3/toolchain/ZAG_PLAYBOOK.md	md	P1	coordinator	17185	done	review: porting engineering record verified live — compiler SHA-256 498abcb5…1373137e58ef matches; hello compile+run reproduced byte-for-byte; `_zag_linux_syscall` native-codegen failure confirmed; §6 R34-v3 science claims superseded by quarantine ruling; §12 (white-box notes, 43/43 claim) unverified here
wave2/longhorizon/variants/LH-3/toolchain/hello/add.zag	zag	P0	coordinator	110	done	PASS: trivial add probe, matches playbook §2 listing; no decision logic
wave2/longhorizon/variants/LH-3/toolchain/hello/diag.zag	zag	P0	coordinator	106	done	PASS: allocator/string bring-up probe; no decision logic, no randomness
wave2/longhorizon/variants/LH-3/toolchain/hello/diagd.zag	zag	P0	coordinator	717	done	PASS: open(2) flag-matrix diagnostic probe; no decision logic, no randomness (historical; passes slice ptrs to open directly, pre-z_cstr lesson)
wave2/longhorizon/variants/LH-3/toolchain/hello/diagf.zag	zag	P0	coordinator	716	done	PASS: open(2) flag-combination diagnostic; same pre-lesson caveat as diagd
wave2/longhorizon/variants/LH-3/toolchain/hello/diago.zag	zag	P0	coordinator	357	done	PASS: open(2)/getuid syscall diagnostic; passes non-NUL slice ptr to open(2) directly — historical bring-up probe, predates the z_cstr lesson
wave2/longhorizon/variants/LH-3/toolchain/hello/diago2.zag	zag	P0	coordinator	1032	done	PASS: nio_cstr+open diagnostic with proper NUL-termination; no decision logic
wave2/longhorizon/variants/LH-3/toolchain/hello/diags.zag	zag	P0	coordinator	328	done	PASS: single-flag open diagnostic; same pre-lesson caveat as diagd
wave2/longhorizon/variants/LH-3/toolchain/hello/hello.zag	zag	P0	coordinator	76	done	PASS: canonical hello — compiled and ran live, output matches playbook §2 byte-for-byte
wave2/longhorizon/variants/LH-3/toolchain/hello/rawprobe.zag	zag	P0	coordinator	114	done	PASS: getpid raw-syscall probe; no decision logic
wave2/longhorizon/variants/LH-3/toolchain/hello/sysprobe.zag	zag	P0	coordinator	89	done	dup:wave2/longhorizon/variants/LH-2/toolchain/hello/sysprobe.zag
wave2/longhorizon/variants/LH-3/toolchain/r34v3/CLOSURE_20260917.md	md	P1	coordinator	1386	done	dup:wave2/longhorizon/variants/LH-2/toolchain/r34v3/CLOSURE_20260917.md
wave2/longhorizon/variants/LH-3/toolchain/r34v3/PREREGISTRATION.md	md	P0	coordinator	2115	done	dup:wave2/longhorizon/variants/LH-2/toolchain/r34v3/PREREGISTRATION.md
wave2/longhorizon/variants/LH-3/toolchain/r34v3/README.md	md	P1	coordinator	946	done	dup:wave2/longhorizon/variants/LH-2/toolchain/r34v3/README.md
wave2/longhorizon/variants/LH-3/toolchain/r34v3/WORKLOG_20260916.md	md	P1	coordinator	2367	done	dup:wave2/longhorizon/variants/LH-2/toolchain/r34v3/WORKLOG_20260916.md
wave2/longhorizon/variants/LH-3/toolchain/r34v3/r34_continuing_harness_v3.zag	zag	P0	coordinator	15775	done	dup:wave2/longhorizon/variants/LH-2/toolchain/r34v3/r34_continuing_harness_v3.zag
wave2/longhorizon/variants/LH-3/toolchain/r34v3/r34_learner_core.zag	zag	P0	coordinator	7776	done	dup:wave2/longhorizon/variants/LH-2/toolchain/r34v3/r34_learner_core.zag
wave2/longhorizon/variants/LH-3/toolchain/r34v3/r34_lh_harness.zag	zag	P0	coordinator	12237	done	review: tainted LH-3 harness — byte-identical to LH-2's except LH_BLOCKS 40→100, seeds 22002/2202→33003/3303, LH_DRIFT_SEED 0→333 (enables harness-side decile-mode LCG — documented schedule perturbation, not a learner decision), tag LH-3; quarantined with the LH-3 result
wave2/longhorizon/variants/LH-3/toolchain/r34v3/wb_whitebox_tests.zag	zag	P0	coordinator	10784	done	dup:wave2/longhorizon/variants/LH-2/toolchain/r34v3/wb_whitebox_tests.zag
wave2/longhorizon/variants/LH-4/RESULT.md	md	P1	coordinator	4124	done	review: carries the 2026-09-20 contamination notice (QUARANTINED); 5/5 A-returns 16/16 multi-return verdict not canonical; LH-4/LH-7 suspended — no clean rerun exists (clean reruns were LH-1R/2R/3R/5R)
wave2/longhorizon/variants/LH-4/toolchain/R33_CONTINUING_LIFE_V1/checkpoint.zag	zag	P0	coordinator	4365	done	dup:wave2/longhorizon/variants/LH-3/toolchain/R33_CONTINUING_LIFE_V1/checkpoint.zag
wave2/longhorizon/variants/LH-4/toolchain/R33_CONTINUING_LIFE_V1/common.zag	zag	P0	coordinator	2289	done	dup:wave2/longhorizon/variants/LH-3/toolchain/R33_CONTINUING_LIFE_V1/common.zag
wave2/longhorizon/variants/LH-4/toolchain/R33_CONTINUING_LIFE_V1/observation.zag	zag	P0	coordinator	3682	done	dup:wave2/longhorizon/variants/LH-3/toolchain/R33_CONTINUING_LIFE_V1/observation.zag
wave2/longhorizon/variants/LH-4/toolchain/R33_CONTINUING_LIFE_V1/storage.zag	zag	P0	coordinator	3407	done	dup:wave2/longhorizon/variants/LH-3/toolchain/R33_CONTINUING_LIFE_V1/storage.zag
wave2/longhorizon/variants/LH-4/toolchain/R33_CONTINUING_LIFE_V1/world.zag	zag	P0	coordinator	4100	done	dup:wave2/longhorizon/variants/LH-3/toolchain/R33_CONTINUING_LIFE_V1/world.zag
wave2/longhorizon/variants/LH-4/toolchain/R33_NATIVE_IO_V1.zag	zag	P0	coordinator	6533	done	dup:wave2/longhorizon/variants/LH-3/toolchain/R33_NATIVE_IO_V1.zag
wave2/longhorizon/variants/LH-4/toolchain/R33_NATIVE_SHA256_V2.zag	zag	P0	coordinator	4787	done	dup:wave2/longhorizon/variants/LH-3/toolchain/R33_NATIVE_SHA256_V2.zag
wave2/longhorizon/variants/LH-4/toolchain/ZAG_PLAYBOOK.md	md	P1	coordinator	14974	done	review: = LH-3 playbook minus §12 (Zag testing notes); otherwise byte-identical; same verdict as LH-3 playbook row
wave2/longhorizon/variants/LH-4/toolchain/hello/add.zag	zag	P0	coordinator	110	done	dup:wave2/longhorizon/variants/LH-3/toolchain/hello/add.zag
wave2/longhorizon/variants/LH-4/toolchain/hello/diag.zag	zag	P0	coordinator	106	done	dup:wave2/longhorizon/variants/LH-3/toolchain/hello/diag.zag
wave2/longhorizon/variants/LH-4/toolchain/hello/diagd.zag	zag	P0	coordinator	717	done	dup:wave2/longhorizon/variants/LH-3/toolchain/hello/diagd.zag
wave2/longhorizon/variants/LH-4/toolchain/hello/diagf.zag	zag	P0	coordinator	716	done	dup:wave2/longhorizon/variants/LH-3/toolchain/hello/diagf.zag
wave2/longhorizon/variants/LH-4/toolchain/hello/diago.zag	zag	P0	coordinator	357	done	dup:wave2/longhorizon/variants/LH-3/toolchain/hello/diago.zag
