ep	step	cls	conf	meas	truth
K-002	9	INJ	716	6000	FALSE
K-002	10	INJ	715	6001	FALSE
K-002	11	INJ	716	6002	FALSE
K-002	12	INJ	715	6000	FALSE
K-002	13	INJ	716	6001	FALSE
K-002	14	INJ	715	6002	FALSE
K-002	15	INJ	716	6000	FALSE
K-002	16	INJ	715	6001	FALSE
K-002	17	INJ	716	6002	FALSE
K-002	18	INJ	715	6000	FALSE
K-002	19	INJ	716	6001	FALSE
K-002	20	INJ	715	6002	FALSE
K-002	21	INJ	716	6000	FALSE
K-002	22	INJ	715	6001	FALSE
K-002	23	INJ	716	6002	FALSE
K-002	24	INJ	715	6000	FALSE
K-002	25	INJ	716	6001	FALSE
K-002	26	INJ	715	6002	FALSE
K-002	27	INJ	716	6000	FALSE
K-002	28	INJ	715	6001	FALSE
K-002	29	INJ	716	6002	FALSE
K-002	30	INJ	715	6000	FALSE
K-002	31	INJ	716	6001	FALSE
K-002	32	INJ	715	6002	FALSE
K-002	33	INJ	716	6000	FALSE
K-002	34	INJ	715	6001	FALSE
K-002	35	INJ	716	6002	FALSE
K-002	36	INJ	715	6000	FALSE
K-002	37	INJ	716	6001	FALSE
K-002	38	INJ	715	6002	FALSE
K-002	39	INJ	716	6000	FALSE
K-002	40	INJ	715	6001	FALSE
K-002	41	INJ	716	6002	FALSE
K-002	42	INJ	715	6000	FALSE
K-002	43	INJ	716	6001	FALSE
K-002	44	INJ	715	6002	FALSE
K-002	45	INJ	716	6000	FALSE
K-002	46	INJ	715	6001	FALSE
K-002	47	INJ	716	6002	FALSE
K-002	48	INJ	715	6000	FALSE
K-002	49	INJ	716	6001	FALSE
K-002	50	INJ	715	6002	FALSE
K-002	51	INJ	716	6000	FALSE
K-002	52	INJ	715	6001	FALSE
K-002	53	INJ	716	6002	FALSE
K-002	54	INJ	715	6000	FALSE
K-002	55	INJ	716	6001	FALSE
K-002	56	INJ	715	6002	FALSE
K-002	57	INJ	716	6000	FALSE
K-002	58	INJ	715	6001	FALSE
K-002	59	INJ	716	6002	FALSE
K-002	60	INJ	715	6000	FALSE
K-002	61	INJ	716	6001	FALSE
K-002	62	INJ	715	6002	FALSE
K-002	63	INJ	716	6000	FALSE
K-002	64	INJ	715	6001	FALSE
K-002	65	INJ	716	6002	FALSE
K-002	66	INJ	715	6000	FALSE
K-002	67	INJ	716	6001	FALSE
K-002	68	INJ	715	6002	FALSE
K-002	69	INJ	716	6000	FALSE
K-003	0	INJ	715	6000	FALSE
K-003	1	INJ	716	6001	FALSE
K-003	2	INJ	715	6002	FALSE
K-003	3	INJ	716	6000	FALSE
K-003	4	INJ	715	6001	FALSE
K-003	5	INJ	716	6002	FALSE
K-003	6	INJ	715	6000	FALSE
K-003	7	INJ	716	6001	FALSE
K-003	8	INJ	715	6002	FALSE
K-003	9	INJ	716	6000	FALSE
K-003	10	INJ	715	6001	FALSE
K-003	11	INJ	716	6002	FALSE
K-003	12	INJ	715	6000	FALSE
K-003	13	INJ	716	6001	FALSE
K-003	14	INJ	715	6002	FALSE
K-003	15	INJ	716	6000	FALSE
K-003	16	INJ	715	6001	FALSE
K-003	17	INJ	716	6002	FALSE
K-003	18	INJ	715	6000	FALSE
K-003	19	INJ	716	6001	FALSE
K-003	20	INJ	715	6002	FALSE
K-003	21	INJ	716	6000	FALSE
K-003	22	INJ	715	6001	FALSE
K-003	23	INJ	716	6002	FALSE
K-003	24	INJ	715	6000	FALSE
K-003	25	INJ	716	6001	FALSE
K-003	26	INJ	715	6002	FALSE
K-003	27	INJ	716	6000	FALSE
K-003	28	INJ	715	6001	FALSE
K-003	29	INJ	716	6002	FALSE
K-003	30	INJ	715	6000	FALSE
K-003	31	INJ	716	6001	FALSE
K-003	32	INJ	715	6002	FALSE
K-003	33	INJ	716	6000	FALSE
K-003	34	INJ	715	6001	FALSE
K-003	35	INJ	716	6002	FALSE
K-003	36	INJ	715	6000	FALSE
K-003	37	INJ	716	6001	FALSE
K-003	38	INJ	715	6002	FALSE
K-003	39	INJ	716	6000	FALSE
K-003	40	INJ	715	6001	FALSE
K-003	41	INJ	716	6002	FALSE
K-003	42	INJ	715	6000	FALSE
K-003	43	INJ	716	6001	FALSE
K-003	44	INJ	715	6002	FALSE
K-003	45	INJ	716	6000	FALSE
K-003	46	INJ	715	6001	FALSE
K-003	47	INJ	716	6002	FALSE
K-003	48	INJ	715	6000	FALSE
K-003	49	INJ	716	6001	FALSE
K-003	50	INJ	715	6002	FALSE
K-003	51	INJ	716	6000	FALSE
K-003	52	INJ	715	6001	FALSE
K-003	53	INJ	716	6002	FALSE
K-003	54	INJ	715	6000	FALSE
K-003	55	INJ	716	6001	FALSE
K-003	56	INJ	715	6002	FALSE
K-003	57	INJ	716	6000	FALSE
K-003	58	INJ	715	6001	FALSE
K-003	59	INJ	716	6002	FALSE
K-003	60	INJ	715	6000	FALSE
K-003	61	INJ	716	6001	FALSE
K-003	62	INJ	715	6002	FALSE
K-003	63	INJ	716	6000	FALSE
K-003	64	INJ	715	6001	FALSE
K-003	65	INJ	716	6002	FALSE
K-003	66	INJ	715	6000	FALSE
K-003	67	INJ	716	6001	FALSE
K-003	68	INJ	715	6002	FALSE
K-003	69	INJ	716	6000	FALSE
K-004	0	INJ	715	6000	FALSE
K-004	1	INJ	716	6001	FALSE
K-004	2	INJ	715	6002	FALSE
K-004	3	INJ	716	6000	FALSE
K-004	4	INJ	715	6001	FALSE
K-004	5	INJ	716	6002	FALSE
K-004	6	INJ	715	6000	FALSE
K-004	7	INJ	716	6001	FALSE
K-004	8	INJ	715	6002	FALSE
K-004	9	INJ	716	6000	FALSE
K-004	10	INJ	715	6001	FALSE
K-004	11	INJ	716	6002	FALSE
K-004	12	INJ	715	6000	FALSE
K-004	13	INJ	716	6001	FALSE
K-004	14	INJ	715	6002	FALSE
K-004	15	INJ	716	6000	FALSE
K-004	16	INJ	715	6001	FALSE
K-004	17	INJ	716	6002	FALSE
K-004	18	INJ	715	6000	FALSE
K-004	19	INJ	716	6001	FALSE
K-004	20	INJ	715	6002	FALSE
K-004	21	INJ	716	6000	FALSE
K-004	22	INJ	715	6001	FALSE
K-004	23	INJ	716	6002	FALSE
K-004	24	INJ	715	6000	FALSE
K-004	25	INJ	716	6001	FALSE
K-004	26	INJ	715	6002	FALSE
K-004	27	INJ	716	6000	FALSE
K-004	28	INJ	715	6001	FALSE
K-004	29	INJ	716	6002	FALSE
K-004	30	INJ	715	6000	FALSE
K-004	31	INJ	716	6001	FALSE
K-004	32	INJ	715	6002	FALSE
K-004	33	INJ	716	6000	FALSE
K-004	34	INJ	715	6001	FALSE
K-004	35	INJ	716	6002	FALSE
K-004	36	INJ	715	6000	FALSE
K-004	37	INJ	716	6001	FALSE
K-004	38	INJ	715	6002	FALSE
K-004	39	INJ	716	6000	FALSE
K-004	40	INJ	715	6001	FALSE
K-004	41	INJ	716	6002	FALSE
K-004	42	INJ	715	6000	FALSE
K-004	43	INJ	716	6001	FALSE
K-004	44	INJ	715	6002	FALSE
K-004	45	INJ	716	6000	FALSE
K-004	46	INJ	715	6001	FALSE
K-004	47	INJ	716	6002	FALSE
K-004	48	INJ	715	6000	FALSE
K-004	49	INJ	716	6001	FALSE
K-004	50	INJ	715	6002	FALSE
K-004	51	INJ	716	6000	FALSE
K-004	52	INJ	715	6001	FALSE
K-004	53	INJ	716	6002	FALSE
K-004	54	INJ	715	6000	FALSE
K-004	55	INJ	716	6001	FALSE
K-004	56	INJ	715	6002	FALSE
K-004	57	INJ	716	6000	FALSE
K-004	58	INJ	715	6001	FALSE
K-004	59	INJ	716	6002	FALSE
K-004	60	INJ	715	6000	FALSE
K-004	61	INJ	716	6001	FALSE
K-004	62	INJ	715	6002	FALSE
K-004	63	INJ	716	6000	FALSE
K-004	64	INJ	715	6001	FALSE
K-004	65	INJ	716	6002	FALSE
K-004	66	INJ	715	6000	FALSE
K-004	67	INJ	716	6001	FALSE
K-004	68	INJ	715	6002	FALSE
K-004	69	INJ	716	6000	FALSE
K-005	0	INJ	715	6000	FALSE
K-005	1	INJ	716	6001	FALSE
K-005	2	INJ	715	6002	FALSE
K-005	3	INJ	716	6000	FALSE
K-005	4	INJ	715	6001	FALSE
K-005	5	INJ	716	6002	FALSE
K-005	6	INJ	715	6000	FALSE
K-005	7	INJ	716	6001	FALSE
K-005	8	INJ	715	6002	FALSE
K-005	9	INJ	716	6000	FALSE
K-005	10	INJ	715	6001	FALSE
K-005	11	INJ	716	6002	FALSE
K-005	12	INJ	715	6000	FALSE
K-005	13	INJ	716	6001	FALSE
K-005	14	INJ	715	6002	FALSE
K-005	15	INJ	716	6000	FALSE
K-005	16	INJ	715	6001	FALSE
K-005	17	INJ	716	6002	FALSE
K-005	18	INJ	715	6000	FALSE
K-005	19	INJ	716	6001	FALSE
K-005	20	INJ	715	6002	FALSE
K-005	21	INJ	716	6000	FALSE
K-005	22	INJ	715	6001	FALSE
K-005	23	INJ	716	6002	FALSE
K-005	24	INJ	715	6000	FALSE
K-005	25	INJ	716	6001	FALSE
K-005	26	INJ	715	6002	FALSE
K-005	27	INJ	716	6000	FALSE
K-005	28	INJ	715	6001	FALSE
K-005	29	INJ	716	6002	FALSE
K-005	30	INJ	715	6000	FALSE
K-005	31	INJ	716	6001	FALSE
K-005	32	INJ	715	6002	FALSE
K-005	33	INJ	716	6000	FALSE
K-005	34	INJ	715	6001	FALSE
K-005	35	INJ	716	6002	FALSE
K-005	36	INJ	715	6000	FALSE
K-005	37	INJ	716	6001	FALSE
K-005	38	INJ	715	6002	FALSE
K-005	39	INJ	716	6000	FALSE
K-005	40	INJ	715	6001	FALSE
K-005	41	INJ	716	6002	FALSE
K-005	42	INJ	715	6000	FALSE
K-005	43	INJ	716	6001	FALSE
K-005	44	INJ	715	6002	FALSE
K-005	45	INJ	716	6000	FALSE
K-005	46	INJ	715	6001	FALSE
K-005	47	INJ	716	6002	FALSE
K-005	48	INJ	715	6000	FALSE
K-005	49	INJ	716	6001	FALSE
K-005	50	INJ	715	6002	FALSE
K-005	51	INJ	716	6000	FALSE
K-005	52	INJ	715	6001	FALSE
K-005	53	INJ	716	6002	FALSE
K-005	54	INJ	715	6000	FALSE
K-005	55	INJ	716	6001	FALSE
K-005	56	INJ	715	6002	FALSE
K-005	57	INJ	716	6000	FALSE
K-005	58	INJ	715	6001	FALSE
K-005	59	INJ	716	6002	FALSE
K-005	60	INJ	715	6000	FALSE
K-005	61	INJ	716	6001	FALSE
K-005	62	INJ	715	6002	FALSE
K-005	63	INJ	716	6000	FALSE
K-005	64	INJ	715	6001	FALSE
K-005	65	INJ	716	6002	FALSE
K-005	66	INJ	715	6000	FALSE
K-005	67	INJ	716	6001	FALSE
K-005	68	INJ	715	6002	FALSE
K-005	69	INJ	716	6000	FALSE
K-006	0	INJ	715	6000	FALSE
K-006	1	INJ	716	6001	FALSE
K-006	2	INJ	715	6002	FALSE
K-006	3	INJ	716	6000	FALSE
K-006	4	INJ	715	6001	FALSE
K-006	5	INJ	716	6002	FALSE
K-006	6	INJ	715	6000	FALSE
K-006	7	INJ	716	6001	FALSE
K-006	8	INJ	715	6002	FALSE
K-006	9	INJ	716	6000	FALSE
K-006	10	INJ	715	6001	FALSE
K-006	11	INJ	716	6002	FALSE
K-006	12	INJ	715	6000	FALSE
K-006	13	INJ	716	6001	FALSE
K-006	14	INJ	715	6002	FALSE
K-006	15	INJ	716	6000	FALSE
K-006	16	INJ	715	6001	FALSE
K-006	17	INJ	716	6002	FALSE
K-006	18	INJ	715	6000	FALSE
K-006	19	INJ	716	6001	FALSE
K-006	20	INJ	715	6002	FALSE
K-006	21	INJ	716	6000	FALSE
K-006	22	INJ	715	6001	FALSE
K-006	23	INJ	716	6002	FALSE
K-006	24	INJ	715	6000	FALSE
K-006	25	INJ	716	6001	FALSE
K-006	26	INJ	715	6002	FALSE
K-006	27	INJ	716	6000	FALSE
K-006	28	INJ	715	6001	FALSE
K-006	29	INJ	716	6002	FALSE
K-006	30	INJ	715	6000	FALSE
K-006	31	INJ	716	6001	FALSE
K-006	32	INJ	715	6002	FALSE
K-006	33	INJ	716	6000	FALSE
K-006	34	INJ	715	6001	FALSE
K-006	35	INJ	716	6002	FALSE
K-006	36	INJ	715	6000	FALSE
K-006	37	INJ	716	6001	FALSE
K-006	38	INJ	715	6002	FALSE
K-006	39	INJ	716	6000	FALSE
K-006	40	INJ	715	6001	FALSE
K-006	41	INJ	716	6002	FALSE
K-006	42	INJ	715	6000	FALSE
K-006	43	INJ	716	6001	FALSE
K-006	44	INJ	715	6002	FALSE
K-006	45	INJ	716	6000	FALSE
K-006	46	INJ	715	6001	FALSE
K-006	47	INJ	716	6002	FALSE
K-006	48	INJ	715	6000	FALSE
K-006	49	INJ	716	6001	FALSE
K-006	50	INJ	715	6002	FALSE
K-006	51	INJ	716	6000	FALSE
K-006	52	INJ	715	6001	FALSE
K-006	53	INJ	716	6002	FALSE
K-006	54	INJ	715	6000	FALSE
K-006	55	INJ	716	6001	FALSE
K-006	56	INJ	715	6002	FALSE
K-006	57	INJ	716	6000	FALSE
K-006	58	INJ	715	6001	FALSE
K-006	59	INJ	716	6002	FALSE
K-006	60	INJ	715	6000	FALSE
K-006	61	INJ	716	6001	FALSE
K-006	62	INJ	715	6002	FALSE
K-006	63	INJ	716	6000	FALSE
K-006	64	INJ	715	6001	FALSE
K-006	65	INJ	716	6002	FALSE
K-006	66	INJ	715	6000	FALSE
K-006	67	INJ	716	6001	FALSE
K-006	68	INJ	715	6002	FALSE
K-006	69	INJ	716	6000	FALSE
K-007	0	INJ	715	6000	FALSE
K-007	1	INJ	716	6001	FALSE
K-007	2	INJ	715	6002	FALSE
K-007	3	INJ	716	6000	FALSE
K-007	4	INJ	715	6001	FALSE
K-007	5	INJ	716	6002	FALSE
K-007	6	INJ	715	6000	FALSE
K-007	7	INJ	716	6001	FALSE
K-007	8	INJ	715	6002	FALSE
K-007	9	INJ	716	6000	FALSE
K-007	10	INJ	715	6001	FALSE
K-007	11	INJ	716	6002	FALSE
K-007	12	INJ	715	6000	FALSE
K-007	13	INJ	716	6001	FALSE
K-007	14	INJ	715	6002	FALSE
K-007	15	INJ	716	6000	FALSE
K-007	16	INJ	715	6001	FALSE
K-007	17	INJ	716	6002	FALSE
K-007	18	INJ	715	6000	FALSE
K-007	19	INJ	716	6001	FALSE
K-007	20	INJ	715	6002	FALSE
K-007	21	INJ	716	6000	FALSE
K-007	22	INJ	715	6001	FALSE
K-007	23	INJ	716	6002	FALSE
K-007	24	INJ	715	6000	FALSE
K-007	25	INJ	716	6001	FALSE
K-007	26	INJ	715	6002	FALSE
K-007	27	INJ	716	6000	FALSE
K-007	28	INJ	715	6001	FALSE
K-007	29	INJ	716	6002	FALSE
K-007	30	INJ	715	6000	FALSE
K-007	31	INJ	716	6001	FALSE
K-007	32	INJ	715	6002	FALSE
K-007	33	INJ	716	6000	FALSE
K-007	34	INJ	715	6001	FALSE
K-007	35	INJ	716	6002	FALSE
K-007	36	INJ	715	6000	FALSE
K-007	37	INJ	716	6001	FALSE
K-007	38	INJ	715	6002	FALSE
K-007	39	INJ	716	6000	FALSE
K-007	40	INJ	715	6001	FALSE
K-007	41	INJ	716	6002	FALSE
K-007	42	INJ	715	6000	FALSE
K-007	43	INJ	716	6001	FALSE
K-007	44	INJ	715	6002	FALSE
K-007	45	INJ	716	6000	FALSE
K-007	46	INJ	715	6001	FALSE
K-007	47	INJ	716	6002	FALSE
K-007	48	INJ	715	6000	FALSE
K-007	49	INJ	716	6001	FALSE
K-007	50	INJ	715	6002	FALSE
K-007	51	INJ	716	6000	FALSE
K-007	52	INJ	715	6001	FALSE
K-007	53	INJ	716	6002	FALSE
K-007	54	INJ	715	6000	FALSE
K-007	55	INJ	716	6001	FALSE
K-007	56	INJ	715	6002	FALSE
K-007	57	INJ	716	6000	FALSE
K-007	58	INJ	715	6001	FALSE
K-007	59	INJ	716	6002	FALSE
K-007	60	INJ	715	6000	FALSE
K-007	61	INJ	716	6001	FALSE
K-007	62	INJ	715	6002	FALSE
K-007	63	INJ	716	6000	FALSE
K-007	64	INJ	715	6001	FALSE
K-007	65	INJ	716	6002	FALSE
K-007	66	INJ	715	6000	FALSE
K-007	67	INJ	716	6001	FALSE
K-007	68	INJ	715	6002	FALSE
K-007	69	INJ	716	6000	FALSE
K-008	0	INJ	715	6000	FALSE
K-008	1	INJ	716	6001	FALSE
K-008	2	INJ	715	6002	FALSE
K-008	3	INJ	716	6000	FALSE
K-008	4	INJ	715	6001	FALSE
K-008	5	INJ	716	6002	FALSE
K-008	6	INJ	715	6000	FALSE
K-008	7	INJ	716	6001	FALSE
K-008	8	INJ	715	6002	FALSE
K-008	9	INJ	716	6000	FALSE
K-008	10	INJ	715	6001	FALSE
K-008	11	INJ	716	6002	FALSE
K-008	12	INJ	715	6000	FALSE
K-008	13	INJ	716	6001	FALSE
K-008	14	INJ	715	6002	FALSE
K-008	15	INJ	716	6000	FALSE
K-008	16	INJ	715	6001	FALSE
K-008	17	INJ	716	6002	FALSE
K-008	18	INJ	715	6000	FALSE
K-008	19	INJ	716	6001	FALSE
K-008	20	INJ	715	6002	FALSE
K-008	21	INJ	716	6000	FALSE
K-008	22	INJ	715	6001	FALSE
K-008	23	INJ	716	6002	FALSE
K-008	24	INJ	715	6000	FALSE
K-008	25	INJ	716	6001	FALSE
K-008	26	INJ	715	6002	FALSE
K-008	27	INJ	716	6000	FALSE
K-008	28	INJ	715	6001	FALSE
K-008	29	INJ	716	6002	FALSE
K-008	30	INJ	715	6000	FALSE
K-008	31	INJ	716	6001	FALSE
K-008	32	INJ	715	6002	FALSE
K-008	33	INJ	716	6000	FALSE
K-008	34	INJ	715	6001	FALSE
K-008	35	INJ	716	6002	FALSE
K-008	36	INJ	715	6000	FALSE
K-008	37	INJ	716	6001	FALSE
K-008	38	INJ	715	6002	FALSE
K-008	39	INJ	716	6000	FALSE
K-008	40	INJ	715	6001	FALSE
K-008	41	INJ	716	6002	FALSE
K-008	42	INJ	715	6000	FALSE
K-008	43	INJ	716	6001	FALSE
K-008	44	INJ	715	6002	FALSE
K-008	45	INJ	716	6000	FALSE
K-008	46	INJ	715	6001	FALSE
K-008	47	INJ	716	6002	FALSE
K-008	48	INJ	715	6000	FALSE
K-008	49	INJ	716	6001	FALSE
K-008	50	INJ	715	6002	FALSE
K-008	51	INJ	716	6000	FALSE
K-008	52	INJ	715	6001	FALSE
K-008	53	INJ	716	6002	FALSE
K-008	54	INJ	715	6000	FALSE
K-008	55	INJ	716	6001	FALSE
K-008	56	INJ	715	6002	FALSE
K-008	57	INJ	716	6000	FALSE
K-008	58	INJ	715	6001	FALSE
K-008	59	INJ	716	6002	FALSE
K-008	60	INJ	715	6000	FALSE
K-008	61	INJ	716	6001	FALSE
K-008	62	INJ	715	6002	FALSE
K-008	63	INJ	716	6000	FALSE
K-008	64	INJ	715	6001	FALSE
K-008	65	INJ	716	6002	FALSE
K-008	66	INJ	715	6000	FALSE
K-008	67	INJ	716	6001	FALSE
K-008	68	INJ	715	6002	FALSE
K-008	69	INJ	716	6000	FALSE
K-009	0	INJ	715	6000	FALSE
K-009	1	INJ	716	6001	FALSE
K-009	2	INJ	715	6002	FALSE
K-009	3	INJ	716	6000	FALSE
K-009	4	INJ	715	6001	FALSE
K-009	5	INJ	716	6002	FALSE
K-009	6	INJ	715	6000	FALSE
K-009	7	INJ	716	6001	FALSE
K-009	8	INJ	715	6002	FALSE
K-009	9	INJ	716	6000	FALSE
K-009	10	INJ	715	6001	FALSE
K-009	11	INJ	716	6002	FALSE
K-009	12	INJ	715	6000	FALSE
K-009	13	INJ	716	6001	FALSE
K-009	14	INJ	715	6002	FALSE
K-009	15	INJ	716	6000	FALSE
K-009	16	INJ	715	6001	FALSE
K-009	17	INJ	716	6002	FALSE
K-009	18	INJ	715	6000	FALSE
K-009	19	INJ	716	6001	FALSE
K-009	20	INJ	715	6002	FALSE
K-009	21	INJ	716	6000	FALSE
K-009	22	INJ	715	6001	FALSE
K-009	23	INJ	716	6002	FALSE
K-009	24	INJ	715	6000	FALSE
K-009	25	INJ	716	6001	FALSE
K-009	26	INJ	715	6002	FALSE
K-009	27	INJ	716	6000	FALSE
K-009	28	INJ	715	6001	FALSE
K-009	29	INJ	716	6002	FALSE
K-009	30	INJ	715	6000	FALSE
K-009	31	INJ	716	6001	FALSE
K-009	32	INJ	715	6002	FALSE
K-009	33	INJ	716	6000	FALSE
K-009	34	INJ	715	6001	FALSE
K-009	35	INJ	716	6002	FALSE
K-009	36	INJ	715	6000	FALSE
K-009	37	INJ	716	6001	FALSE
K-009	38	INJ	715	6002	FALSE
K-009	39	INJ	716	6000	FALSE
K-009	40	INJ	715	6001	FALSE
K-009	41	INJ	716	6002	FALSE
K-009	42	INJ	715	6000	FALSE
K-009	43	INJ	716	6001	FALSE
K-009	44	INJ	715	6002	FALSE
K-009	45	INJ	716	6000	FALSE
K-009	46	INJ	715	6001	FALSE
K-009	47	INJ	716	6002	FALSE
K-009	48	INJ	715	6000	FALSE
K-009	49	INJ	716	6001	FALSE
K-009	50	INJ	715	6002	FALSE
K-009	51	INJ	716	6000	FALSE
K-009	52	INJ	715	6001	FALSE
K-009	53	INJ	716	6002	FALSE
K-009	54	INJ	715	6000	FALSE
K-009	55	INJ	716	6001	FALSE
K-009	56	INJ	715	6002	FALSE
K-009	57	INJ	716	6000	FALSE
K-009	58	INJ	715	6001	FALSE
K-009	59	INJ	716	6002	FALSE
K-009	60	INJ	715	6000	FALSE
K-009	61	INJ	716	6001	FALSE
K-009	62	INJ	715	6002	FALSE
K-009	63	INJ	716	6000	FALSE
K-009	64	INJ	715	6001	FALSE
K-009	65	INJ	716	6002	FALSE
K-009	66	INJ	715	6000	FALSE
K-009	67	INJ	716	6001	FALSE
K-009	68	INJ	715	6002	FALSE
K-009	69	INJ	716	6000	FALSE
K-010	0	INJ	715	6000	FALSE
K-010	1	INJ	716	6001	FALSE
K-010	2	INJ	715	6002	FALSE
K-010	3	INJ	716	6000	FALSE
K-010	4	INJ	715	6001	FALSE
K-010	5	INJ	716	6002	FALSE
K-010	6	INJ	715	6000	FALSE
K-010	7	INJ	716	6001	FALSE
K-010	8	INJ	715	6002	FALSE
K-010	9	INJ	716	6000	FALSE
K-010	10	INJ	715	6001	FALSE
K-010	11	INJ	716	6002	FALSE
K-010	12	INJ	715	6000	FALSE
K-010	13	INJ	716	6001	FALSE
K-010	14	INJ	715	6002	FALSE
K-010	15	INJ	716	6000	FALSE
K-010	16	INJ	715	6001	FALSE
K-010	17	INJ	716	6002	FALSE
K-010	18	INJ	715	6000	FALSE
K-010	19	INJ	716	6001	FALSE
K-010	20	INJ	715	6002	FALSE
K-010	21	INJ	716	6000	FALSE
K-010	22	INJ	715	6001	FALSE
K-010	23	INJ	716	6002	FALSE
K-010	24	INJ	715	6000	FALSE
K-010	25	INJ	716	6001	FALSE
K-010	26	INJ	715	6002	FALSE
K-010	27	INJ	716	6000	FALSE
K-010	28	INJ	715	6001	FALSE
K-010	29	INJ	716	6002	FALSE
K-010	30	INJ	715	6000	FALSE
K-010	31	INJ	716	6001	FALSE
K-010	32	INJ	715	6002	FALSE
K-010	33	INJ	716	6000	FALSE
K-010	34	INJ	715	6001	FALSE
K-010	35	INJ	716	6002	FALSE
K-010	36	INJ	715	6000	FALSE
K-010	37	INJ	716	6001	FALSE
K-010	38	INJ	715	6002	FALSE
K-010	39	INJ	716	6000	FALSE
K-010	40	INJ	715	6001	FALSE
K-010	41	INJ	716	6002	FALSE
K-010	42	INJ	715	6000	FALSE
K-010	43	INJ	716	6001	FALSE
K-010	44	INJ	715	6002	FALSE
K-010	45	INJ	716	6000	FALSE
K-010	46	INJ	715	6001	FALSE
K-010	47	INJ	716	6002	FALSE
K-010	48	INJ	715	6000	FALSE
K-010	49	INJ	716	6001	FALSE
K-010	50	INJ	715	6002	FALSE
K-010	51	INJ	716	6000	FALSE
K-010	52	INJ	715	6001	FALSE
K-010	53	INJ	716	6002	FALSE
K-010	54	INJ	715	6000	FALSE
K-010	55	INJ	716	6001	FALSE
K-010	56	INJ	715	6002	FALSE
K-010	57	INJ	716	6000	FALSE
K-010	58	INJ	715	6001	FALSE
K-010	59	INJ	716	6002	FALSE
K-010	60	INJ	715	6000	FALSE
K-010	61	INJ	716	6001	FALSE
K-010	62	INJ	715	6002	FALSE
K-010	63	INJ	716	6000	FALSE
K-010	64	INJ	715	6001	FALSE
K-010	65	INJ	716	6002	FALSE
K-010	66	INJ	715	6000	FALSE
K-010	67	INJ	716	6001	FALSE
