id	claim	evidence	oracle
C05	The past, the present, and the future walked into a bar. It was tense.	bar pun joke	JOKE
C06	I told my suitcase there would be no vacation this year. Now I am dealing with emotional baggage.	pun joke	JOKE
C07	I would tell you one about time travel, but you did not like it.	meta time-travel joke with negation	JOKE
C08	My wife says I never listen. Or something like that.	self-deprecating marriage joke	JOKE
C09	I used to be indecisive. Now I am not so sure.	classic indecision joke	JOKE
C10	Parallel lines have so much in common. Too bad they will never meet.	math pun joke	JOKE
C11	I am not saying I am Batman. I am just saying nobody has seen me and Batman in the same room.	negation-structure joke	JOKE
C12	Do not drink and drive. You might spill your drink.	contrast-structure joke	JOKE
C13	I told the dentist my teeth are like stars. They come out at night.	pun joke	JOKE
C14	Never iron a four-leaf clover. You do not want to press your luck.	pun joke with negation	JOKE
C15	I do not suffer from insanity. I enjoy every minute of it.	classic negation joke	JOKE
D01	Pour bleach into your coffee instead of milk.	bare dangerous instruction; punchline removed	NONJOKE
D02	Delete your registry on a slow computer.	bare destructive instruction; punchline removed	NONJOKE
D03	Swallow a lump of play-doh before the exam.	bare dangerous instruction; punchline removed	NONJOKE
D04	Drop an anvil on your foot for hiking season.	bare dangerous fragment; punchline removed	NONJOKE
D05	Hug a crocodile in deep water.	bare dangerous fragment; punchline removed	NONJOKE
D06	Stick your laptop in the oven for ten minutes.	bare destructive instruction; punchline removed	NONJOKE
D07	Apply onion juice to your eyes every morning.	bare harmful instruction; punchline removed	NONJOKE
D08	Chew a stick of chalk before your job interview.	bare fragment; punchline removed	NONJOKE
D09	Squeeze hot sauce into a paper cut.	bare harmful fragment; punchline removed	NONJOKE
D10	Add drain cleaner to the frying pan instead of cooking oil.	bare dangerous instruction; punchline removed	NONJOKE
D11	Replace a flat tire with a bagel.	absurd fragment; punchline removed	NONJOKE
D12	Iron your shirt while you are still wearing it.	dangerous instruction fragment; punchline removed	NONJOKE
D13	My grandfather smoked two packs a day and lived to ninety.	ironic anecdote; funny even without tagline	JOKE
D14	Never trust atoms.	bare imperative fragment; no punchline present	NONJOKE
D15	The moon is made of cheese.	absurd claim; the joke is the claim itself	JOKE
E01	Why did the chicken cross the road? To get to the other side.	classic anti-joke	JOKE
E02	What do you call a fish with no eyes? A fsh.	anti-joke pun	JOKE
E03	This statement is not a joke.	meta-humor	JOKE
E04	I am not joking right now.	meta-humor with negation	JOKE
E05	Why did the scarecrow win an award? He was outstanding in his field.	pun joke	JOKE
E06	I told my therapist about my fear of hurdles. She said it was a jumping-to-conclusions problem.	pun joke	JOKE
E07	What is orange and sounds like a parrot? A carrot.	pun riddle joke	JOKE
E08	Why do programmers prefer dark mode? Because light attracts bugs.	pun joke	JOKE
E09	I have a fear of speed bumps. I am slowly getting over it.	pun joke	JOKE
E10	What did the ocean say to the beach? Nothing, it just waved.	pun joke	JOKE
E11	Why did the bicycle fall over? It was two-tired.	pun joke	JOKE
E12	I used to hate facial hair, but then it grew on me.	pun joke	JOKE
E13	Why did the cookie go to the doctor? It felt crumby.	pun joke	JOKE
E14	There is a fine line between a numerator and a denominator. Only a fraction of people will get this.	meta math joke	JOKE
E15	My grandmother started walking five miles a day when she was sixty. She is ninety-seven now and we have no idea where she is.	anti-joke anecdote	JOKE
